,tag_1,tag_2,score
748,pop,All,1.11805857304
749,pop punk,All,0.00427657279202
750,pop rock,All,0.0133058414294
751,post-pop,All,0.0733707112977
752,psychedelic,All,0.0458280520285
753,psychedelic pop,All,0.0552306399485
754,punk,All,0.00131113725965
755,r&b,All,0.101226367023
756,rap,All,0.116448709108
757,relevant magazine,All,0.247823334416
758,rnb,All,0.028984665939
759,rock,All,0.309622849598
760,shoegaze,All,0.0181309472305
761,singer-songwriter,All,0.114019954832
762,soul,All,0.130199713041
763,spotify,All,0.321288942784
764,swag,All,0.0310402889036
765,synth pop,All,0.00640036934797
766,synthpop,All,0.0701966125203
767,techno,All,0.241275753503
768,trance,All,0.0181161546575
769,trap,All,0.156124941673
770,trip-hop,All,0.0127692643894
771,try,All,0.0990499106585
772,uk funky,All,0.203383611717
773,under 2000 listeners,All,0.0981971588795
774,underground hip-hop,All,0.00664565454572
775,unknown,All,2.76448477707
776,vocal,All,0.0443036128566
777,west coast,All,0.0490372828362
778,00s,Alt-country,0.0947728086372
779,All,Alt-country,0.00408455506193
780,Alternative Folk,Alt-country,0.0741587702234
781,Awesome,Alt-country,0.0271178735415
782,Canadian,Alt-country,0.00331414062512
783,Lo-Fi,Alt-country,0.487872660635
784,Love,Alt-country,0.0110042841277
785,Mellow,Alt-country,0.194433613135
786,Nashville,Alt-country,1.08540717941
787,New Weird America,Alt-country,0.0217683160803
788,Psychedelic Rock,Alt-country,0.00520788600101
789,Recommended,Alt-country,3.54926546677
790,Southern Rock,Alt-country,0.0217264623456
791,Spacebomb,Alt-country,0.179076575823
792,Surf,Alt-country,0.328413672613
793,USA,Alt-country,0.142785311717
794,acoustic,Alt-country,1.17257326519
795,alt country,Alt-country,0.291655369919
796,alternative,Alt-country,2.03376719689
797,alternative country,Alt-country,0.479244908735
798,alternative rock,Alt-country,0.0903099596207
799,american,Alt-country,0.745396770519
